kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.90E-08,-1.90E-08,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,1.42E+04,4.67E+01,-4.67E+01,0.123851,2.50E-05,-7.60E-05,1.83176,0.00684,-0.00441,12.85,2.70E-01,-2.70E-01,0.035,,,1344,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,6802,1,5850,50,-50,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05
K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.80E-08,-3.80E-08,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,6.69E+03,1.30E+00,-1.30E+00,0.075408,8.00E-06,-7.00E-06,0.40593,0.00006,-0.00027,16.39,1.50E-01,-1.40E-01,0.0381,,,2025,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,6714.5,1,6350,80,-80,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036
K00003.01,Kepler-3 b,CONFIRMED,4.887802706,1.77E-07,-1.77E-07,0.026,0.0486,-0.026,2.36386,0.00113,-0.00113,4.34E+03,2.20E+00,-2.20E+00,0.057989,4.90E-05,-3.30E-05,3.70008,0.01139,-0.02911,4.84,1.90E-01,-1.40E-01,0.053,,,801,,,97.1,16.17,-12.29,16.7184,0.0515,-0.0515,2207.8,1,4777,93,-91,4.59,0.011,-0.041,0.32,0.1,-0.14,0.765,0.03,-0.022,0.829,0.024,-0.053
K00004.01,Kepler-1658 b,CONFIRMED,3.849371501,1.30E-06,-1.30E-06,0.9193,0.0059,-0.0071,2.6605,0.0345,-0.0345,1.32E+03,7.30E+00,-7.30E+00,0.040105,2.76E-04,-4.71E-04,0.20824,0.02503,-0.02017,13.1,2.06E+00,-3.25E+00,0.0548,,,2035,,,4055.29,1837.19,-1919.87,5.464,0.657,-0.657,262.6,1,6244,130,-109,3.657,0.205,-0.107,-0.16,0.2,-0.14,2.992,0.469,-0.743,1.482,0.137,-0.196
K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.12E-06,-1.12E-06,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,7.28E+02,2.60E+00,-2.60E+00,0.024735,1.41E-04,-7.60E-05,0.46381,0.00018,-0.0571,4.14,1.10E-01,-1.10E-01,0.0439,,,1507,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,328.5,1,5781,76,-76,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073
K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94E-07,-1.94E-07,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,9.38E+03,6.60E+00,-6.60E+00,0.093582,1.17E-04,-1.98E-04,0.68914,0.0184,-0.01254,14.83,1.19E+00,-1.32E+00,0.0473,,,1521,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1801.5,1,6225,114,-158,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098
K00012.01,Kepler-448 b,CONFIRMED,17.8552197,3.77E-06,-3.77E-06,0.0009,0.0542,-0.0009,7.42939,0.00537,-0.00537,9.15E+03,1.14E+01,-1.14E+01,0.088385,7.80E-05,-5.00E-05,0.47417,0.0004,-0.0042,14.63,8.54E+00,-3.18E+00,0.1463,,,942,,,186.24,322.22,-86.26,19.9926,0.0169,-0.0169,1034.5,1,6635,142,-214,4.193,0.145,-0.325,-0.04,0.25,-0.36,1.516,0.885,-0.33,1.312,0.272,-0.246
K00013.01,Kepler-13 b,CONFIRMED,1.763587569,3.20E-08,-3.20E-08,0.3742,0.0096,-0.0084,3.18137,0.00493,-0.00493,4.60E+03,1.90E+00,-1.90E+00,0.077938,5.40E-05,-3.70E-05,0.49629,0.00443,-0.00654,25.8,1.02E+01,-8.04E+00,0.0386,,,3560,,,37958.27,44636.82,-23093.53,4.3373,0.0387,-0.0387,5120.6,1,9107,257,-425,3.867,0.235,-0.148,0.07,0.14,-0.65,3.031,1.198,-0.944,2.466,0.447,-0.725
K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13E-07,-1.13E-07,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,1.08E+04,4.00E+00,-4.00E+00,0.095137,2.00E-05,-1.80E-05,0.77551,0.00039,-0.00113,13.41,9.70E-01,-1.03E+00,0.0435,,,1355,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3344.9,1,5640,99,-110,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075
K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96E-07,-1.96E-07,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,7.45E+03,3.60E+00,-3.60E+00,0.080126,2.20E-05,-2.00E-05,0.39897,0.00033,-0.00057,15.28,1.18E+00,-1.28E+00,0.05,,,1640,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2442.4,1,6290,105,-120,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135
K00020.01,Kepler-12 b,CONFIRMED,4.43796303,1.67E-07,-1.67E-07,0,0.0139,0,4.70104,0.00092,-0.00092,1.67E+04,5.20E+00,-5.20E+00,0.117936,1.60E-05,-2.30E-05,0.50824,0.0002,-0.0005,18.22,3.93E+00,-3.13E+00,0.0545,,,1338,,,757.65,442.92,-279.52,8.08834,0.00318,-0.00318,3953.1,1,5953,105,-123,4.175,0.14,-0.131,0.08,0.13,-0.14,1.415,0.305,-0.243,1.093,0.128,-0.091
K00022.01,Kepler-422 b,CONFIRMED,7.891448474,4.70E-07,-4.70E-07,0.2002,0.0425,-0.0499,4.30403,0.00702,-0.00702,1.06E+04,6.40E+00,-6.40E+00,0.093941,1.38E-04,-2.43E-04,1.04134,0.03357,-0.02312,12.24,2.45E+00,-1.52E+00,0.0796,,,1000,,,235.93,126.61,-70.93,15.078,0.486,-0.486,2148.2,1,5853,95,-134,4.318,0.101,-0.142,0.2,0.1,-0.16,1.193,0.239,-0.148,1.08,0.077,-0.085
K00041.01,Kepler-100 c,CONFIRMED,12.81588378,1.84E-05,-1.84E-05,0.5891,0.0307,-0.4634,6.3728,0.0413,-0.0413,2.18E+02,2.00E+00,-2.00E+00,0.014026,7.90E-05,-6.01E-04,0.2361,0.17779,-0.02243,2.28,6.00E-02,-5.00E-02,0.11,,,946,,,189.05,19.38,-17.88,12.7,4.8,-4.8,110.3,3,5825,75,-75,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063
K00041.02,Kepler-100 b,CONFIRMED,6.88706037,2.04E-05,-2.04E-05,0.5134,0.0017,-0.482,4.4276,0.0728,-0.0728,7.39E+01,1.80E+00,-1.80E+00,0.008062,1.34E-03,-2.27E-04,0.44013,0.28288,-0.00436,1.31,3.00E-02,-3.00E-02,0.0727,,,1163,,,432.81,44.37,-40.95,10.33,3.3,-3.3,47.9,3,5825,75,-75,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063
K00041.03,Kepler-100 d,CONFIRMED,35.3330866,2.16E-04,-2.16E-04,0.5942,0.367,-0.3598,5.904,0.131,-0.131,9.38E+01,3.30E+00,-3.30E+00,0.009209,2.34E-03,-3.49E-04,0.78634,0.54499,-0.7508,1.5,3.00E-02,-4.00E-02,0.2163,,,674,,,48.89,5.02,-4.62,37.3,12.9,-12.9,30.2,3,5825,75,-75,4.125,0.009,-0.009,0.02,0.101,-0.101,1.49,0.035,-0.035,1.08,0.063,-0.063
K00042.01,Kepler-410 A b,CONFIRMED,17.83368211,1.15E-05,-1.15E-05,0.0048,0.2659,-0.0047,4.5403,0.0166,-0.0166,3.28E+02,2.00E+00,-2.00E+00,0.016639,1.52E-04,-4.30E-05,1.68951,0.01905,-0.19669,2.47,4.00E-02,-3.00E-02,0.1436,,,859,,,128.66,9.81,-9.21,30.511,0.344,-0.344,185.6,1,6325,75,-75,4.264,0.006,-0.006,0.01,0.101,-0.101,1.361,0.018,-0.018,1.242,0.045,-0.045
K00046.01,Kepler-101 b,CONFIRMED,3.487689428,1.13E-06,-1.13E-06,0.0356,0.1742,-0.0356,3.84268,0.00966,-0.00966,1.34E+03,4.40E+00,-4.40E+00,0.033018,2.03E-04,-7.50E-05,0.57645,0.00343,-0.04204,4.36,1.01E+00,-5.50E-01,0.0468,,,1291,,,656.81,402.75,-205.16,7.1833,0.0427,-0.0427,339.8,2,5761,85,-150,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104
K00046.02,Kepler-101 c,CONFIRMED,6.02979518,7.05E-05,-7.05E-05,0.4143,0.0422,-0.4142,3.91,0.255,-0.255,5.55E+01,5.40E+00,-5.40E+00,0.006862,2.55E-04,-5.39E-04,0.66141,0.39846,-0.18209,0.91,2.10E-01,-1.20E-01,0.0675,,,1075,,,315.74,193.6,-98.63,10.83,3.3,-3.3,11.5,2,5761,85,-150,4.325,0.094,-0.165,0.48,0.08,-0.18,1.208,0.282,-0.152,1.125,0.088,-0.104
K00049.01,Kepler-461 b,CONFIRMED,8.313783059,7.66E-06,-7.66E-06,0.05,0.2875,-0.05,2.9927,0.0245,-0.0245,8.10E+02,8.60E+00,-8.60E+00,0.025915,3.46E-04,-2.90E-04,2.81785,0.10228,-0.47989,2.69,4.50E-01,-1.10E-01,0.0821,,,886,,,145.51,67.36,-22.95,21.755,0.79,-0.79,118.6,1,5900,106,-125,4.509,0.019,-0.136,0.07,0.11,-0.13,0.951,0.159,-0.04,1.065,0.047,-0.071
K00063.01,Kepler-63 b,CONFIRMED,9.434151089,2.05E-06,-2.05E-06,0.3603,0.0357,-0.2744,2.7795,0.0142,-0.0142,4.02E+03,1.16E+01,-1.16E+01,0.058246,1.34E-03,-6.96E-04,3.65416,0.81647,-0.02373,5.57,7.50E-01,-1.70E-01,0.0873,,,789,,,91.83,34.57,-12.27,25.81,5.8,-5.8,472.2,1,5650,98,-113,4.551,0.011,-0.108,0.07,0.14,-0.13,0.876,0.117,-0.027,0.993,0.033,-0.063
K00069.01,Kepler-93 b,CONFIRMED,4.726739475,1.49E-06,-1.49E-06,0.682,0.0167,-0.4722,2.9269,0.013,-0.013,2.66E+02,1.10E+00,-1.10E+00,0.015858,1.97E-04,-8.09E-04,0.68631,0.71972,-0.15221,1.59,4.00E-02,-3.00E-02,0.0533,,,1039,,,275.99,27.67,-25.56,9.32,3.3,-3.3,285.5,1,5669,75,-75,4.466,0.01,-0.01,-0.18,0.101,-0.101,0.921,0.02,-0.02,0.909,0.057,-0.057
K00070.01,Kepler-20 c,CONFIRMED,10.85409784,4.40E-06,-4.40E-06,0.4384,0.0097,-0.4058,3.7747,0.0206,-0.0206,1.05E+03,4.10E+00,-4.10E+00,0.029956,1.82E-03,-6.09E-04,1.38033,0.37992,-0.77306,3.03,5.30E-01,-2.40E-01,0.0919,,,765,,,80.88,40.3,-16.96,20.49,5.6,-5.6,279.8,5,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041
K00070.02,Kepler-20 b,CONFIRMED,3.696119675,2.31E-06,-2.31E-06,0.8424,0.0077,-0.5999,2.5474,0.0403,-0.0403,3.97E+02,3.00E+00,-3.00E+00,0.020874,1.41E-03,-2.27E-03,0.37253,1.35869,-0.06485,2.11,3.70E-01,-1.70E-01,0.0448,,,1095,,,340.33,169.57,-71.36,6.46,2.9,-2.9,145.1,5,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041
K00070.03,Kepler-20 d,CONFIRMED,77.6115987,1.36E-04,-1.36E-04,0.1206,0.2677,-0.1206,7.2566,0.0459,-0.0459,8.28E+02,8.00E+00,-8.00E+00,0.025923,5.39E-04,-2.57E-04,1.81167,0.07611,-0.37265,2.62,4.60E-01,-2.10E-01,0.3411,,,397,,,5.87,2.93,-1.23,83.25,3.5,-3.5,106.3,5,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041
K00070.04,Kepler-20 e,CONFIRMED,6.09853672,2.84E-05,-2.84E-05,0.5636,0.3768,-0.3588,2.881,0.111,-0.111,7.48E+01,3.60E+00,-3.60E+00,0.008166,1.75E-03,-4.00E-04,1.26256,0.77232,-1.14952,0.82,1.50E-01,-6.00E-02,0.0626,,,927,,,174.3,86.85,-36.54,13.54,4.1,-4.1,23.3,5,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041
K00070.05,Kepler-20 f,CONFIRMED,19.5776286,1.24E-04,-1.24E-04,0.3268,0.1317,-0.3267,3.744,0.151,-0.151,1.16E+02,5.70E+00,-5.70E+00,0.009811,4.02E-04,-3.17E-04,2.74647,1.24978,-0.58136,0.99,1.80E-01,-8.00E-02,0.1362,,,628,,,36.82,18.35,-7.72,38.2,17.4,-17.4,23,5,5465,110,-96,4.449,0.075,-0.13,0.02,0.16,-0.14,0.925,0.163,-0.073,0.876,0.062,-0.041
K00072.01,Kepler-10 b,CONFIRMED,0.837491331,2.72E-07,-2.72E-07,0.0489,0.2629,-0.0488,1.8076,0.00782,-0.00782,1.92E+02,1.10E+00,-1.10E+00,0.012581,1.57E-04,-5.20E-05,1.28818,0.04026,-0.16065,1.45,3.00E-02,-3.00E-02,0.0168,,,1968,,,3545.07,259.09,-244.87,3.628,0.113,-0.113,205.7,2,5627,44,-44,4.342,0.03,-0.03,-0.15,0.04,-0.04,1.056,0.021,-0.021,0.895,0.06,-0.06
K00072.02,Kepler-10 c,CONFIRMED,45.29431717,5.28E-05,-5.28E-05,0.019,0.3006,-0.019,6.8714,0.0289,-0.0289,4.77E+02,3.40E+00,-3.40E+00,0.019777,2.65E-04,-9.20E-05,1.24829,0.01408,-0.19869,2.28,5.00E-02,-4.00E-02,0.2397,,,521,,,17.41,1.28,-1.2,51.347,0.579,-0.579,130.7,2,5627,44,-44,4.342,0.03,-0.03,-0.15,0.04,-0.04,1.056,0.021,-0.021,0.895,0.06,-0.06
K00082.01,Kepler-102 e,CONFIRMED,16.14569077,6.65E-06,-6.65E-06,0.6842,0.0884,-0.3131,3.7246,0.0405,-0.0405,9.89E+02,3.70E+00,-3.70E+00,0.03053,1.29E-03,-1.96E-03,1.20797,1.29314,-0.29382,2.52,1.00E-01,-1.40E-01,0.1129,,,549,,,21.46,3.81,-3.76,25.53,9.1,-9.1,301.8,5,4812,101,-93,4.548,0.042,-0.019,0.02,0.16,-0.16,0.755,0.031,-0.042,0.734,0.048,-0.029
K00082.02,Kepler-102 d,CONFIRMED,10.31173752,1.03E-05,-1.03E-05,0.7672,0.0352,-0.5593,3.205,0.0312,-0.0312,2.82E+02,3.10E+00,-3.10E+00,0.016946,2.48E-04,-1.84E-03,0.78884,1.63094,-0.22293,1.4,5.00E-02,-8.00E-02,0.0837,,,638,,,39.04,6.94,-6.83,16.43,6.8,-6.8,98.4,5,4812,101,-93,4.548,0.042,-0.019,0.02,0.16,-0.16,0.755,0.031,-0.042,0.734,0.048,-0.029
K00082.03,Kepler-102 f,CONFIRMED,27.4537294,1.03E-04,-1.03E-04,0.1053,0.3576,-0.1051,3.5353,0.0877,-0.0877,1.16E+02,4.70E+00,-4.70E+00,0.009524,5.06E-04,-2.03E-04,5.3048,0.33051,-2.11427,0.79,3.00E-02,-5.00E-02,0.1608,,,460,,,10.58,1.88,-1.85,59.57,3.7,-3.7,26.3,5,4812,101,-93,4.548,0.042,-0.019,0.02,0.16,-0.16,0.755,0.031,-0.042,0.734,0.048,-0.029
K00082.04,Kepler-102 c,CONFIRMED,7.07136076,2.57E-05,-2.57E-05,0.0839,0.3873,-0.0838,2.7506,0.0938,-0.0938,6.29E+01,2.80E+00,-2.80E+00,0.007006,3.77E-04,-1.92E-04,2.90012,0.14021,-1.31829,0.58,2.00E-02,-3.00E-02,0.0651,,,723,,,64.54,11.47,-11.3,19.718,0.953,-0.953,24.9,5,4812,101,-93,4.548,0.042,-0.019,0.02,0.16,-0.16,0.755,0.031,-0.042,0.734,0.048,-0.029
K00082.05,Kepler-102 b,CONFIRMED,5.28695437,2.54E-05,-2.54E-05,0.4052,0.0879,-0.3924,2.591,0.125,-0.125,4.30E+01,2.50E+00,-2.50E+00,0.00595,1.59E-04,-3.78E-04,2.00644,0.76627,-0.57523,0.49,2.00E-02,-3.00E-02,0.0536,,,797,,,95.21,16.92,-16.68,14.37,5.5,-5.5,19,5,4812,101,-93,4.548,0.042,-0.019,0.02,0.16,-0.16,0.755,0.031,-0.042,0.734,0.048,-0.029
K00084.01,Kepler-19 b,CONFIRMED,9.286968825,3.88E-06,-3.88E-06,0.0554,0.2532,-0.0554,3.371,0.0124,-0.0124,7.01E+02,3.30E+00,-3.30E+00,0.023941,2.77E-04,-9.90E-05,2.18794,0.00266,-0.45027,2.13,3.10E-01,-9.00E-02,0.0833,,,764,,,80.48,34.34,-12.06,21.5266,0.0262,-0.0262,250.9,1,5543,106,-109,4.568,0.015,-0.122,-0.14,0.16,-0.14,0.813,0.122,-0.033,0.891,0.048,-0.067
K00085.01,Kepler-65 c,CONFIRMED,5.859938722,2.61E-06,-2.61E-06,0.0265,0.2578,-0.0265,4.0004,0.0119,-0.0119,3.20E+02,1.40E+00,-1.40E+00,0.016394,1.35E-04,-6.80E-05,0.81303,0.0019,-0.18516,2.55,4.00E-02,-4.00E-02,0.069,,,1236,,,552.06,37.5,-35.54,11.3853,0.0266,-0.0266,259.3,3,6169,50,-50,4.236,0.022,-0.022,0.09,0.08,-0.08,1.424,0.024,-0.024,1.273,0.061,-0.061
K00085.02,Kepler-65 b,CONFIRMED,2.154909039,1.84E-06,-1.84E-06,0.6452,0.1522,-0.4361,3.1774,0.0221,-0.0221,1.00E+02,1.00E+00,-1.00E+00,0.009656,5.94E-04,-4.38E-04,0.28072,0.24341,-0.01748,1.5,3.00E-02,-2.00E-02,0.0354,,,1726,,,2097.4,142.46,-135.04,4.1,1.8,-1.8,116.2,3,6169,50,-50,4.236,0.022,-0.022,0.09,0.08,-0.08,1.424,0.024,-0.024,1.273,0.061,-0.061
K00085.03,Kepler-65 d,CONFIRMED,8.13122484,1.35E-05,-1.35E-05,0.8742,0,-0.6277,4.3457,0.0244,-0.0244,1.14E+02,1.50E+00,-1.50E+00,0.011306,0.00E+00,-1.26E-03,0.11251,0.61728,0,1.76,3.00E-02,-3.00E-02,0.0858,,,1109,,,357.04,24.25,-22.99,7.33,3.7,-3.7,78.1,3,6169,50,-50,4.236,0.022,-0.022,0.09,0.08,-0.08,1.424,0.024,-0.024,1.273,0.061,-0.061
K00087.01,Kepler-22 b,CONFIRMED,289.864456,1.29E-03,-1.29E-03,0.0175,0.3803,-0.0173,6.977,0.0921,-0.0921,5.02E+02,9.80E+00,-9.80E+00,0.020319,5.09E-04,-2.86E-04,7.64288,0.27569,-2.24432,2.17,5.00E-02,-4.00E-02,0.8489,,,267,,,1.21,0.09,-0.09,323.8,11.7,-11.7,55.9,1,5642,50,-50,4.443,0.028,-0.028,-0.27,0.08,-0.08,0.979,0.02,-0.02,0.97,0.06,-0.06
K00089.01,Kepler-462 b,CONFIRMED,84.6879808,2.07E-04,-2.07E-04,0.0637,0.2913,-0.0637,10.0215,0.0615,-0.0615,3.51E+02,4.80E+00,-4.80E+00,0.017389,2.62E-04,-1.66E-04,0.74304,0.00083,-0.20872,5.01,1.82E+00,-1.33E+00,0.4731,,,804,,,98.91,107.15,-53.75,65.554,0.0732,-0.0732,89.6,2,7717,225,-308,3.888,0.204,-0.229,0.07,0.19,-0.35,2.641,0.958,-0.705,1.965,0.256,-0.339
K00094.01,Kepler-89 d,CONFIRMED,22.34296959,3.31E-06,-3.31E-06,0.0056,0.0468,-0.0056,6.68603,0.00386,-0.00386,5.68E+03,5.30E+00,-5.30E+00,0.068974,4.50E-05,-3.30E-05,0.77072,0.00167,-0.00434,9.77,2.03E+00,-1.50E+00,0.1596,,,767,,,81.73,45.67,-27.89,27.2965,0.0592,-0.0592,1211.1,4,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075
K00094.02,Kepler-89 c,CONFIRMED,10.42367777,7.16E-06,-7.16E-06,0.127,0.2594,-0.127,5.2291,0.0237,-0.0237,7.95E+02,4.30E+00,-4.30E+00,0.025851,3.69E-04,-1.48E-04,0.65005,0.03054,-0.13397,3.66,7.60E-01,-5.60E-01,0.096,,,989,,,225.89,126.23,-77.07,15.514,0.729,-0.729,217.7,4,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075
K00094.03,Kepler-89 e,CONFIRMED,54.31998605,3.60E-05,-3.60E-05,0.0352,0.1117,-0.0351,8.4652,0.0169,-0.0169,2.00E+03,7.10E+00,-7.10E+00,0.040903,1.34E-04,-7.30E-05,0.85049,0.00124,-0.04367,5.79,1.21E+00,-8.90E-01,0.2885,,,570,,,25.01,13.98,-8.53,51.0008,0.0744,-0.0744,308.6,4,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075
K00094.04,Kepler-89 b,CONFIRMED,3.743175556,9.10E-06,-9.10E-06,0.6516,0.2133,-0.4338,3.7301,0.0572,-0.0572,1.29E+02,3.00E+00,-3.00E+00,0.010942,1.01E-03,-5.31E-04,0.28838,0.31639,-0.00163,1.55,3.20E-01,-2.40E-01,0.0485,,,1391,,,885.02,494.57,-301.95,5.98,2.2,-2.2,49.8,4,6098,101,-127,4.247,0.13,-0.137,-0.02,0.12,-0.16,1.297,0.27,-0.199,1.081,0.103,-0.075
K00097.01,Kepler-7 b,CONFIRMED,4.885488953,2.20E-07,-2.20E-07,0.2032,0.0164,-0.0483,5.1313,0.00567,-0.00567,7.57E+03,3.40E+00,-3.40E+00,0.080678,5.40E-05,-1.60E-04,0.36852,0.01021,-0.00354,17.29,5.80E-01,-5.90E-01,0.0617,,,1499,,,1194.1,146.39,-133.47,7.747,0.215,-0.215,3177.8,1,6027,75,-75,3.971,0.019,-0.019,0.1,0.101,-0.101,1.962,0.066,-0.066,1.318,0.089,-0.089
K00098.01,Kepler-14 b,CONFIRMED,6.790121599,9.76E-07,-9.76E-07,0.0205,0.0507,-0.0205,6.1391,0.00363,-0.00363,2.25E+03,2.40E+00,-2.40E+00,0.053899,4.40E-05,-2.80E-05,0.29161,0.00091,-0.00223,12.21,4.10E-01,-4.10E-01,0.0787,,,1445,,,1029.51,123.31,-112.71,8.9241,0.0278,-0.0278,1107.7,1,6378,75,-75,3.952,0.019,-0.019,-0.02,0.101,-0.101,2.075,0.07,-0.07,1.391,0.098,-0.098
K00104.01,Kepler-94 b,CONFIRMED,2.508057352,3.62E-07,-3.62E-07,0.5802,0.1152,-0.1905,1.0724,0.0145,-0.0145,1.55E+03,7.70E+00,-7.70E+00,0.03744,3.72E-04,-1.72E-03,10.95245,5.36378,-2.89526,2.49,3.30E-01,-3.20E-01,0.0311,,,828,,,111.07,103.35,-35.3,15.39,7.5,-7.5,287.9,1,4238,459,-106,4.673,0.079,-0.079,-0.12,0.1,-0.1,0.61,0.08,-0.08,0.64,0.08,-0.08
K00105.01,Kepler-463 b,CONFIRMED,8.981016833,3.16E-06,-3.16E-06,0.51,0.0539,-0.3855,1.8737,0.0159,-0.0159,1.09E+03,7.00E+00,-7.00E+00,0.031006,2.00E-05,-1.07E-03,8.29093,4.20149,-0.85057,4.95,7.70E-01,-1.43E+00,0.0797,,,1060,,,298.93,138.3,-156.55,32.82,8.3,-8.3,182.9,1,5613,130,-87,4.031,0.282,-0.107,-0.4,0.18,-0.1,1.462,0.227,-0.421,0.837,0.058,-0.039
K00107.01,Kepler-464 b,CONFIRMED,7.256965224,5.77E-06,-5.77E-06,0.0022,0.338,-0.002,4.8639,0.022,-0.022,4.62E+02,3.20E+00,-3.20E+00,0.019494,2.82E-04,-1.05E-04,0.56579,0.00421,-0.14175,3.38,1.30E-01,-1.30E-01,0.0778,,,1167,,,439.18,66.56,-59.35,11.6351,0.0866,-0.0866,168.8,1,5862,97,-97,4.113,0.022,-0.022,0.27,0.109,-0.109,1.586,0.061,-0.061,1.201,0.091,-0.091
K00108.01,Kepler-103 b,CONFIRMED,15.96533687,1.35E-05,-1.35E-05,0.0368,0.2381,-0.0368,4.527,0.0201,-0.0201,4.86E+02,3.60E+00,-3.60E+00,0.020046,2.11E-04,-7.90E-05,1.53853,0.01169,-0.24099,3.14,9.00E-02,-8.00E-02,0.128,,,864,,,131.47,15.78,-14.37,27.471,0.209,-0.209,149.3,2,5845,88,-88,4.163,0.011,-0.011,0.07,0.109,-0.109,1.436,0.039,-0.039,1.094,0.068,-0.068
K00108.02,Kepler-103 c,CONFIRMED,179.6076602,2.82E-04,-2.82E-04,0.6661,0.0163,-0.4161,13.491,0.119,-0.119,1.28E+03,7.40E+00,-7.40E+00,0.034568,1.20E-05,-1.77E-03,0.30608,0.31313,-0.03234,5.42,1.50E-01,-1.50E-01,0.6425,,,385,,,5.22,0.62,-0.57,80.5,27.5,-27.5,182.7,2,5845,88,-88,4.163,0.011,-0.011,0.07,0.109,-0.109,1.436,0.039,-0.039,1.094,0.068,-0.068
K00110.01,Kepler-465 b,CONFIRMED,9.940672466,6.55E-06,-6.55E-06,0.0487,0.2154,-0.0486,3.9006,0.0174,-0.0174,5.24E+02,3.40E+00,-3.40E+00,0.02114,1.74E-04,-7.50E-05,1.50107,0.02408,-0.16974,2.8,1.57E+00,-3.80E-01,0.0945,,,1032,,,267.68,444.93,-91.97,19.867,0.319,-0.319,172.9,1,6522,154,-198,4.325,0.09,-0.317,-0.22,0.22,-0.3,1.215,0.677,-0.168,1.14,0.266,-0.143
K00111.01,Kepler-104 b,CONFIRMED,11.42754563,8.59E-06,-8.59E-06,0.1238,0.1734,-0.1237,4.5598,0.0194,-0.0194,5.09E+02,3.40E+00,-3.40E+00,0.020712,1.76E-04,-1.27E-04,1.05883,0.01714,-0.22229,3.08,5.10E-01,-6.90E-01,0.0928,,,972,,,211.16,100.05,-90.79,19.407,0.314,-0.314,163.2,3,5755,119,-78,4.081,0.213,-0.115,-0.52,0.16,-0.1,1.361,0.225,-0.305,0.814,0.056,-0.027
