kepoi_name,kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
K03316.01,Kepler-1467 b,CONFIRMED,47.0569043,1.84E-04,-1.84E-04,0.1277,0.289,-0.1276,5.2722,0.0964,-0.0964,1.66E+03,4.89E+01,-4.89E+01,0.036705,1.22E-03,-6.98E-04,2.94942,0.1075,-0.96652,2.99,6.60E-01,-2.20E-01,0.2385,,,413,,,6.86,4.77,-1.61,70.15,2.6,-2.6,38.3,1,5290,173,-145,4.604,0.029,-0.133,-0.22,0.34,-0.28,0.746,0.165,-0.056,0.821,0.092,-0.09
K03319.02,Kepler-1468 b,CONFIRMED,8.23984869,3.99E-05,-3.99E-05,0.1804,0.232,-0.1802,5.617,0.109,-0.109,2.64E+02,9.70E+00,-9.70E+00,0.014875,5.06E-04,-2.82E-04,0.39233,0.04196,-0.11175,1.59,6.50E-01,-1.60E-01,0.0805,,,917,,,167.45,204.9,-47.81,11.21,1.2,-1.2,30.5,3,5973,161,-193,4.469,0.052,-0.29,-0.06,0.22,-0.3,0.976,0.404,-0.095,1.019,0.158,-0.122
K03319.03,Kepler-1468 c,CONFIRMED,3.54553021,2.27E-05,-2.27E-05,0.3174,0.1315,-0.3174,4.17,0.148,-0.148,1.18E+02,7.70E+00,-7.70E+00,0.01003,3.84E-04,-4.85E-04,0.36929,0.07378,-0.12841,1.07,4.40E-01,-1.10E-01,0.0459,,,1215,,,515.05,630.24,-147.05,6.26,1.3,-1.3,17.1,3,5973,161,-193,4.469,0.052,-0.29,-0.06,0.22,-0.3,0.976,0.404,-0.095,1.019,0.158,-0.122
K03324.01,Kepler-1469 b,CONFIRMED,21.8635301,1.22E-04,-1.22E-04,0.4402,0.0174,-0.4399,3.582,0.131,-0.131,9.76E+02,5.73E+01,-5.73E+01,0.028813,6.04E-04,-1.68E-03,3.22658,1.56596,-0.58586,2.5,6.90E-01,-1.90E-01,0.1464,,,555,,,22.36,18.77,-5.19,43.4,21,-21,18.8,1,5402,164,-146,4.581,0.027,-0.178,-0.1,0.31,-0.26,0.793,0.22,-0.059,0.879,0.076,-0.093
K03330.01,Kepler-1470 b,CONFIRMED,16.2950903,1.92E-04,-1.92E-04,0.2499,0.2258,-0.2498,3.644,0.319,-0.319,2.24E+02,2.12E+01,-2.12E+01,0.013391,1.00E-03,-6.97E-04,2.69249,0.82697,-1.40148,1.18,3.30E-01,-1.00E-01,0.1158,,,581,,,26.95,22.9,-6.84,33.6,10.3,-10.3,13.1,1,4984,162,-131,4.513,0.066,-0.632,0.08,0.26,-0.26,0.809,0.223,-0.072,0.777,0.107,-0.058
K03344.02,Kepler-1471 b,CONFIRMED,3.63899398,2.00E-05,-2.00E-05,0.3905,0.0549,-0.3904,2.213,0.128,-0.128,2.34E+02,1.63E+01,-1.63E+01,0.014223,4.15E-04,-8.12E-04,2.3335,0.77691,-0.83502,1.32,5.90E-01,-1.50E-01,0.0429,,,1153,,,418.3,566.45,-120.65,11.78,3.9,-3.9,15,3,5881,175,-149,4.481,0.086,-0.289,-0.66,0.32,-0.26,0.848,0.379,-0.095,0.794,0.11,-0.051
K03345.01,Kepler-1472 b,CONFIRMED,38.1312831,5.76E-04,-5.76E-04,0.7984,0.1513,-0.5649,6.345,0.805,-0.805,1.99E+02,2.30E+01,-2.30E+01,0.014252,2.00E-05,-1.71E-03,0.30862,2.69872,-0.16454,1.81,8.70E-01,-2.30E-01,0.2335,,,633,,,37.9,52.35,-13.49,28.7,14,-14,13.1,1,6425,137,-258,4.373,0.075,-0.284,-0.08,0.2,-0.32,1.164,0.558,-0.15,1.168,0.233,-0.173
K03346.01,Kepler-1473 b,CONFIRMED,14.4273551,8.41E-05,-8.41E-05,0.2427,0.2114,-0.2427,3.89,0.146,-0.146,1.22E+02,6.50E+00,-6.50E+00,0.010118,3.52E-04,-4.20E-04,1.9498,0.2887,-0.72095,1.15,2.10E-01,-9.00E-02,0.116,,,783,,,88.9,45.68,-19.87,27.79,4.1,-4.1,21.9,1,5929,111,-124,4.403,0.065,-0.147,-0.06,0.13,-0.14,1.04,0.193,-0.084,1,0.065,-0.068
K03348.01,Kepler-1474 b,CONFIRMED,36.4333452,3.22E-04,-3.22E-04,0.004,0.4626,-0.0038,4.213,0.186,-0.186,4.54E+02,3.14E+01,-3.14E+01,0.019446,1.05E-03,-6.87E-04,4.35413,0.27456,-2.06105,2.44,1.37E+00,-3.20E-01,0.2233,,,606,,,31.78,54.21,-11.11,67.35,4.2,-4.2,14.2,2,6057,158,-220,4.367,0.089,-0.321,0.1,0.18,-0.3,1.147,0.645,-0.151,1.118,0.255,-0.147
K03349.01,Kepler-1475 b,CONFIRMED,82.177374,1.15E-03,-1.15E-03,0.237,0.1778,-0.2369,9.165,0.319,-0.319,5.24E+02,3.27E+01,-3.27E+01,0.021162,7.86E-04,-8.36E-04,0.8825,0.2046,-0.20795,2.2,8.20E-01,-2.00E-01,0.373,,,441,,,8.92,9.74,-2.46,68,15.8,-15.8,20.6,1,6247,175,-202,4.489,0.045,-0.273,-0.34,0.26,-0.3,0.954,0.352,-0.087,1.022,0.132,-0.122
K03352.01,Kepler-1476 b,CONFIRMED,10.35863224,5.89E-05,-5.89E-05,0.0652,0.3797,-0.0652,2.574,0.117,-0.117,3.14E+02,2.36E+01,-2.36E+01,0.016144,9.69E-04,-5.62E-04,5.34191,0.8172,-2.00589,1.8,7.10E-01,-2.10E-01,0.0932,,,860,,,129.28,151.58,-39.84,31.18,4.8,-4.8,15.8,1,5893,160,-184,4.423,0.074,-0.273,-0.02,0.23,-0.3,1.02,0.405,-0.116,1.005,0.153,-0.115
K03353.01,Kepler-1477 b,CONFIRMED,11.55530021,8.10E-05,-8.10E-05,0.2609,0.1959,-0.2609,2.799,0.202,-0.202,2.54E+02,2.03E+01,-2.03E+01,0.014364,8.61E-04,-6.93E-04,4.18999,0.97178,-1.80703,1.26,1.23E+00,-1.30E-01,0.0911,,,674,,,48.88,168.73,-13.42,30.92,7.2,-7.2,15.1,1,5149,168,-134,4.506,0.075,-0.64,-0.14,0.35,-0.26,0.803,0.786,-0.082,0.755,0.155,-0.056
K03356.01,Kepler-1478 b,CONFIRMED,26.0840594,5.12E-04,-5.12E-04,0.1509,0.2834,-0.1508,6.725,0.426,-0.426,2.80E+02,2.38E+01,-2.38E+01,0.015391,1.00E-03,-5.39E-04,0.73262,0.15372,-0.30564,1.4,6.00E-01,-9.00E-02,0.1681,,,598,,,30.2,38.31,-7.06,29.76,6.2,-6.2,14.3,1,6081,168,-183,4.563,0.027,-0.307,-0.5,0.3,-0.28,0.835,0.356,-0.058,0.929,0.102,-0.106
