"","kepoi_name","kepler_name","koi_disposition","koi_period","koi_impact","koi_duration","koi_depth","koi_ror","koi_srho","koi_prad","koi_sma","koi_teq","koi_insol","koi_dor","koi_model_snr","koi_count","koi_steff","koi_slogg","koi_smet","koi_srad","koi_smass","Y_habitable"
"1239","K01621.01","Kepler-911 b","CONFIRMED",20.310501,0.102,5.3585,168,0.01188,1.13668,2.53,0.1586,942,185.76,29.16,49.1,1,6081,3.966,-0.03,1.954,1.294,0
"441","K00520.01","Kepler-176 c","CONFIRMED",12.75934834,0.2538,3.5116,939,0.027597,2.45566,2.64,0.1004,682,51.05,27.65,71.6,4,5229,4.47,0.07,0.877,0.826,0
"1881","K02678.01","Kepler-1313 b","CONFIRMED",3.833091178,0.3669,1.372,448,0.019496,10.79002,3.56,0.0454,1432,994.01,20.31,42.2,1,5351,3.921,-0.36,1.671,0.849,0
"1511","K02032.01","Kepler-1063 b","CONFIRMED",14.07971466,0.0309,1.3354,173,0.011957,51.60447,1.15,0.1105,694,54.93,81.47,25.7,1,5568,4.503,-0.04,0.883,0.907,0
"188","K00959.01",NA,"CANDIDATE",12.71379423,0.4454,2.43107,37300,0.182515,9.81468,2.31,0.0485,182,0.26,43.771,6307.8,1,2661,5.283,0,0.116,0.094,1
"1034","K01283.01","Kepler-806 b","CONFIRMED",8.09219642,0.9083,5.455,64.8,0.008845,0.03749,1.86,0.0786,1235,549.98,5.06,37.7,1,5662,3.865,-0.38,1.922,0.989,0
"1954","K02830.01","Kepler-1360 b","CONFIRMED",40.5286413,0.1169,10.526,360,0.017422,0.30277,2.2,0.248,597,29.98,29.73,34.7,1,6269,4.405,0.21,1.155,1.237,0
"2176","K04084.01","Kepler-1549 b","CONFIRMED",214.886545,0.0171,10.11,1010,0.028331,1.90642,2.71,0.6961,266,1.18,166.95,21,3,5375,4.541,0.3,0.876,0.972,0
"93","K00152.01","Kepler-79 d","CONFIRMED",52.09081602,0.021,8.6329,2970,0.050299,0.79088,5.7,0.2807,542,20.34,48.4089,242.6,4,6388,4.442,-0.28,1.037,1.084,0
"2159","K03975.01","Kepler-1536 b","CONFIRMED",364.758031,0.8607,13.006,1620,0.04332,0.2868,2.98,0.8507,166,0.18,126.4,28.6,1,4386,4.629,-0.26,0.63,0.616,0
"810","K00891.01","Kepler-715 b","CONFIRMED",10.00652995,0.8226,5.218,1020,0.032678,0.14661,3.57,0.0933,876,139.21,9.19,70.7,1,6063,4.47,-0.02,1.001,1.079,0
"166","K00232.02","Kepler-122 b","CONFIRMED",5.76616658,0.0659,3.8565,373,0.01773,0.89166,1.84,0.0636,1040,276.44,11.616,64,5,6103,4.496,-0.2,0.949,1.028,0
"63","K00117.01","Kepler-107 e","CONFIRMED",14.74913518,0.6808,6.1887,421,0.019894,0.23102,3.07,0.1227,875,138.71,13.85,107.2,4,5851,4.192,0.27,1.411,1.142,0
"1784","K02444.01","Kepler-1241 b","CONFIRMED",18.5525701,0.5215,4.201,1020,0.029903,1.47924,2.73,0.1334,614,33.61,30,22.5,1,5561,4.557,-0.06,0.836,0.919,0
"318","K00398.03","Kepler-148 b","CONFIRMED",1.729366467,0.114,1.7542,517,0.020406,2.84319,1.87,0.0272,1291,655.74,7.66,50.7,3,5271,4.543,0.14,0.838,0.893,0
"598","K00678.01","Kepler-211 c","CONFIRMED",6.04045294,0.1749,2.0703,273,0.014845,5.74212,2.53,0.0634,1147,409.76,22.29,75.8,2,5244,4.02,0.12,1.56,0.929,0
"643","K00719.01","Kepler-220 c","CONFIRMED",9.034195469,0.3391,1.4895,584,0.021785,20.65342,1.63,0.0765,622,35.28,44.7,97.1,4,4709,4.63,-0.08,0.685,0.731,0
"980","K01165.02","Kepler-783 b","CONFIRMED",4.29264638,0.6565,2.622,62.5,0.007639,0.90656,0.93,0.0487,1218,520.87,9.59,11.7,2,5775,4.267,-0.34,1.114,0.839,0
"1294","K01760.02","Kepler-317 c","CONFIRMED",8.77508519,0.4666,3.293,384,0.018115,1.53878,1.85,0.0827,816,104.68,18.43,14.2,2,5497,4.486,0.26,0.936,0.978,0
"270","K00323.01","Kepler-523 b","CONFIRMED",5.835983111,0.0698,2.0601,547,0.021113,5.9584,1.93,0.0621,892,149.39,22.055,91.8,1,5509,4.565,0.02,0.836,0.937,0
"2205","K04255.01","Kepler-1577 b","CONFIRMED",6.30560247,0.5424,2.468,221,0.013838,2.23018,2.65,0.0657,1125,378.9,16.74,17.9,1,4934,3.927,0.28,1.756,0.952,0
"19241","K02743.01","Kepler-1332 b","CONFIRMED",11.87456832,0.0637,1.9902,227,0.013815,13.16308,1.14,0.0937,699,56.55,46.12,21.5,1,5578,4.57,-0.52,0.757,0.775,0
"1267","K01700.01","Kepler-931 b","CONFIRMED",8.03755877,0.1116,2.7866,297,0.015356,3.22363,1.35,0.0719,744,72.44,22.25,30.9,1,5044,4.511,-0.02,0.804,0.764,0
"104","K00157.02","Kepler-11 d","CONFIRMED",22.68714105,0.0153,5.4835,996,0.02854,1.26293,3.26,0.1528,653,42.95,32.511,130.4,6,5657,4.364,0,1.046,0.921,0
"1039","K01300.01","Kepler-808 b","CONFIRMED",0.631332353,0.12,1.1076,450,0.01906,4.17487,1.1,0.0116,1324,726.72,4.447,100,1,4441,4.71,-0.98,0.53,0.526,0
"1151","K01488.01","Kepler-861 b","CONFIRMED",3.949631375,0.37,1.5788,855,0.026662,7.44905,2.43,0.0463,966,206.05,18.31,43,1,5155,4.523,0.14,0.836,0.849,0
"1983","K07470.01",NA,"CANDIDATE",392.50115,0.1835,9.88,391,0.017596,3.44682,1.9,1.0021,225,0.6,303.9,8.9,1,5128,4.388,0.46,0.988,0.87,1
"109","K00159.01","Kepler-115 c","CONFIRMED",8.99088871,0.1376,4.1029,463,0.019692,1.13453,2.31,0.0847,939,183.99,16.92,94,2,5977,4.375,-0.1,1.075,0.999,0
"2109","K03410.01","Kepler-1491 b","CONFIRMED",16.5861762,0.2568,6.899,231,0.013921,0.4027,1.39,0.1278,695,55.08,18.02,14.4,2,5880,4.518,-0.06,0.917,1.01,0
"1641","K02194.02","Kepler-371 c","CONFIRMED",67.9687026,0.1393,7.899,279,0.015333,1.18355,1.54,0.326,448,9.51,66.12,23.7,2,6038,4.508,-0.22,0.922,1,0
"2071","K03284.01","Kepler-438 b","CONFIRMED",35.23318,0.6614,3.757,403,0.019296,2.61555,0.98,0.1648,273,1.31,55.6,16.4,1,3688,4.788,-0.1,0.463,0.479,1
"550","K00627.02","Kepler-625 c","CONFIRMED",4.1653651,0.0903,3.2895,123,0.010118,1.01057,1.18,0.0533,1202,493.74,9.75,32.5,2,6077,4.444,0.21,1.072,1.165,0
"573","K00659.01","Kepler-637 b","CONFIRMED",23.20584623,0.1081,4.2998,348,0.017269,2.54884,2.76,0.1734,862,130.61,41.71,48.3,1,6722,4.216,-0.14,1.466,1.296,0
"750","K00835.01","Kepler-239 b","CONFIRMED",11.76305946,0.0197,2.9027,1100,0.02941,4.42504,2.36,0.0939,614,33.63,31.87,48.1,2,4980,4.608,-0.04,0.734,0.801,0
"232","K00284.03","Kepler-132 b","CONFIRMED",6.17828255,0.5303,3.18,93.6,0.009122,1.0301,1.04,0.0641,1055,292.35,12.76,14.3,4,5921,4.363,-0.26,1.045,0.919,0
"57","K00115.01","Kepler-105 b","CONFIRMED",5.41220713,0.0975,2.8105,598,0.022571,2.1739,3.28,0.0621,1306,686.92,14.987,198.5,2,6391,4.226,-0.22,1.332,1.085,0
"203","K00261.01","Kepler-96 b","CONFIRMED",16.23846777,0.0755,3.817,643,0.023035,2.6166,2.27,0.1257,682,51.06,33.16,281.7,1,5763,4.527,0.02,0.904,1.002,0
"1924","K07235.01",NA,"CANDIDATE",299.70688,0.1196,15.39,231,0.013829,0.7071,1.15,0.8252,237,0.75,149.7,8.6,1,5606,4.597,-0.4,0.76,0.832,1
"341","K00431.02","Kepler-153 c","CONFIRMED",46.9025112,0.3676,3.9419,834,0.026452,5.68569,2.5,0.2337,458,10.44,87.1,37.3,2,5402,4.452,-0.24,0.865,0.774,0
"1988","K02926.01","Kepler-1388 b","CONFIRMED",12.2854603,0.0153,3.037,1880,0.039013,4.14921,2.23,0.085,427,7.86,32.11,25.6,4,3903,4.735,-0.2,0.523,0.541,0
"1879","K02674.03","Kepler-1311 c","CONFIRMED",2.53573424,0.0753,3.941,72.4,0.007783,0.36227,1.05,0.0364,1539,1326.69,4.975,26.9,3,5988,4.255,-0.12,1.236,1.002,0
"1530","K02051.01","Kepler-355 c","CONFIRMED",25.7624524,0.6319,6.895,674,0.024936,0.349,2.83,0.1765,662,45.27,23,38.5,2,6184,4.448,-0.06,1.038,1.1,0
"1739","K02365.02","Kepler-430 c","CONFIRMED",110.97378,0.2964,12.388,143,0.010952,0.44462,1.48,0.4573,423,7.58,66.1,15.2,2,5831,4.267,0.1,1.238,1.032,0
"1792","K06734.01",NA,"CANDIDATE",498.27269,0.0481,8.92,534,0.020824,6.27252,2.12,1.2449,214,0.5,435,6.6,1,5618,4.514,0.26,0.932,1.033,1
"351","K00438.02","Kepler-155 c","CONFIRMED",52.6615836,0.1574,3.0019,1070,0.029877,17.31175,1.76,0.2267,271,1.28,136.4,36.9,2,3985,4.721,-0.22,0.54,0.56,1
"1221","K01596.02","Kepler-309 c","CONFIRMED",105.3585964,0.8068,3.827,1470,0.039119,4.45517,2.09,0.349,203,0.4,137.8,24.1,2,3880,4.765,-0.28,0.49,0.51,1
"364","K00452.01","Kepler-557 b","CONFIRMED",3.705989551,0.4146,5.1039,519,0.021248,0.1961,2.4,0.0469,1281,637.42,5.22,100.7,1,6187,4.409,-0.26,1.034,0.997,0
"1802","K02485.01","Kepler-1254 b","CONFIRMED",9.99113313,0.1954,2.645,431,0.018642,4.55362,1.54,0.084,679,50.21,28.86,18.1,3,5130,4.579,-0.12,0.756,0.79,0
"595","K00674.01","Kepler-643 b","CONFIRMED",16.33889626,0.1123,9.3575,1790,0.037414,0.18503,10.99,0.1321,972,210.99,13.77,196.6,1,4883,3.639,0.16,2.69,1.15,0
"322","K00408.01","Kepler-150 c","CONFIRMED",7.381977254,0.4861,3.1281,1510,0.036401,1.56427,3.7,0.0733,922,170.48,16.52,124.2,4,5862,4.484,-0.14,0.931,0.963,0
"505","K00581.01","Kepler-610 b","CONFIRMED",6.996926554,0.0232,2.7377,1380,0.033686,3.1783,3.28,0.0719,888,147.07,20.186,117,2,5713,4.541,0.07,0.893,1.01,0
"1583","K02113.02","Kepler-417 b","CONFIRMED",12.33090437,0.1851,3.0549,980,0.028252,3.77691,2.49,0.1006,671,47.99,31.2,29.1,2,5376,4.576,-0.02,0.806,0.897,0
"762","K02770.01",NA,"CANDIDATE",205.38445,0.0931,8.602,1460,0.033542,2.96856,2.31,0.5878,201,0.39,187.8,25.6,1,4400,4.645,-0.2,0.631,0.642,1
"1085","K01364.03","Kepler-292 e","CONFIRMED",11.978822,0.7932,3.937,795,0.028641,0.46761,2.86,0.0997,737,69.63,15.25,26.1,5,5513,4.479,0.08,0.915,0.921,0
"1831","K02552.01","Kepler-1275 b","CONFIRMED",3.65691115,0.2028,2.114,118,0.01003,3.17374,1.19,0.0477,1320,717.83,13.09,16,1,6269,4.399,-0.12,1.087,1.073,0
"1622","K02167.03","Kepler-1129 c","CONFIRMED",76.5369586,0.0644,5.693,712,0.024564,3.74105,2.75,0.3502,471,11.62,105,18.7,2,6240,4.406,-0.38,1.025,0.975,0
"942","K01094.01","Kepler-766 b","CONFIRMED",6.10027804,0.1488,4.7487,893,0.027345,0.50747,2.8,0.066,990,227.15,9.994,44.4,1,5957,4.506,-0.08,0.937,1.026,0
"2040","K03115.01","Kepler-1431 b","CONFIRMED",5.86601526,0.3019,3.978,196,0.012877,0.71412,1.46,0.0648,1064,302.77,10.91,16.2,1,6020,4.427,0.02,1.04,1.051,0
"1893","K02704.02","Kepler-445 b","CONFIRMED",2.984153469,0.5902,1.278,5190,0.068494,8.55118,1.41,0.0224,426,7.81,15.91,19.8,3,3327,5.113,-0.38,0.189,0.169,0
"560","K00645.01","Kepler-633 b","CONFIRMED",8.50340718,0.2223,2.8346,193,0.012871,3.0417,2.18,0.0824,1201,492.55,22.65,27.9,2,6282,4.071,-0.4,1.549,1.03,0
"1990","K02926.03","Kepler-1388 d","CONFIRMED",20.9568158,0.3149,3.558,2190,0.042526,3.85284,2.43,0.1214,357,3.85,44.7,24.5,4,3903,4.735,-0.2,0.523,0.541,0
"981","K01175.01","Kepler-784 b","CONFIRMED",31.5922646,0.3435,13.84,157,0.011467,0.08675,2.24,0.1997,741,71.35,16.6,16.2,2,5611,3.958,0.02,1.791,1.062,0
"279","K00338.01","Kepler-141 c","CONFIRMED",7.01062745,0.7433,3.1196,348,0.018662,0.66301,38.6,0.0703,3021,19697.21,11.99,50,2,4173,1.857,0.06,18.939,0.941,0
"14","K00041.02","Kepler-100 b","CONFIRMED",6.88706037,0.5134,4.4276,73.9,0.008062,0.44013,1.31,0.0727,1163,432.81,10.33,47.9,3,5825,4.125,0.02,1.49,1.08,0
"460","K00541.01","Kepler-594 b","CONFIRMED",13.64618192,0.0595,3.374,667,0.023335,3.1966,2.13,0.1086,681,50.99,31.57,41.6,1,5575,4.558,-0.08,0.834,0.917,0
"1632","K02179.01","Kepler-369 c","CONFIRMED",14.87153514,0.6022,2.582,989,0.029379,4.24262,1.32,0.0894,339,3.13,36.7,27.8,2,3591,4.846,-0.1,0.41,0.43,0
"1448","K01955.04","Kepler-342 c","CONFIRMED",26.2348478,0.0381,2.571,180,0.012378,13.48551,1.59,0.1837,723,64.69,78.87,19.6,4,6475,4.375,-0.06,1.178,1.2,0
"592","K00672.01","Kepler-209 b","CONFIRMED",16.08786478,0.1238,2.9725,641,0.022863,5.40911,2.6,0.1194,719,63.13,41.98,64.8,3,5514,4.344,0.02,1.043,0.876,0
"2219","K04337.01","Kepler-1591 b","CONFIRMED",8.18504949,0.1372,4.214,109,0.009556,0.92539,0.95,0.0794,892,149.41,14.85,14.1,1,5984,4.521,-0.2,0.906,0.993,0
"360","K00446.01","Kepler-158 b","CONFIRMED",16.70920692,0.9227,3.056,893,0.034734,0.50919,2.53,0.1112,500,14.73,19.59,30,2,4621,4.605,-0.24,0.668,0.656,0
"611","K00694.01","Kepler-648 b","CONFIRMED",17.4211749,0.7182,5.0323,931,0.029961,0.46513,2.85,0.1302,661,45.2,19.54,119.8,1,5796,4.544,-0.12,0.871,0.966,0
"36","K00085.02","Kepler-65 b","CONFIRMED",2.154909039,0.6452,3.1774,100,0.009656,0.28072,1.5,0.0354,1726,2097.4,4.1,116.2,3,6169,4.236,0.09,1.424,1.273,0
"2102","K03379.01","Kepler-1484 b","CONFIRMED",30.4549136,0.3665,6.143,530,0.021449,0.96096,2.3,0.1939,624,35.92,36.1,18.1,1,6283,4.472,-0.3,0.984,1.047,0
"1847","K02597.01","Kepler-394 b","CONFIRMED",8.00505342,0.0277,3.326,220,0.013653,1.91232,1.72,0.082,1063,302.24,18.64,16.5,3,6426,4.373,-0.12,1.154,1.145,0
"707","K00784.01","Kepler-231 c","CONFIRMED",19.2715468,0.2575,2.8327,1330,0.033052,7.16212,1.73,0.1125,343,3.28,52,41.2,2,3767,4.783,-0.1,0.48,0.51,0
"156","K00220.01","Kepler-119 b","CONFIRMED",2.422084448,0.1065,2.56327,1920,0.03963,1.35492,3.6,0.0343,1214,513.44,7.49,430.6,2,5588,4.559,-0.1,0.832,0.914,0
"108","K00157.06","Kepler-11 b","CONFIRMED",10.30400497,0.0118,4.2139,320,0.016189,1.22025,1.85,0.0903,849,122.98,18.99,55.3,6,5657,4.364,0,1.046,0.921,0
"1713","K02316.01","Kepler-1188 b","CONFIRMED",17.1369543,0.1021,6.366,395,0.018245,0.58322,2.17,0.1344,781,87.94,20.84,23.4,1,6217,4.405,-0.04,1.09,1.098,0
"400","K00490.01","Kepler-167 b","CONFIRMED",4.393156523,0.0544,2.4197,476,0.019357,2.76561,1.71,0.0482,899,154.44,14.131,60,3,4978,4.511,0.07,0.808,0.772,0
"1275","K01713.02","Kepler-316 b","CONFIRMED",2.240486391,0.2826,1.46,490,0.019601,5.73497,1.19,0.0277,815,104.35,11.5,32.4,2,4132,4.701,-0.38,0.554,0.561,0
"1096","K01402.01","Kepler-832 b","CONFIRMED",7.1396941,0.0467,3.929,553,0.021465,1.0579,2.33,0.075,965,205.23,14.179,27.2,1,6014,4.486,0.07,0.993,1.101,0
"870","K00941.01","Kepler-257 c","CONFIRMED",6.581478842,0.2484,3.1294,2510,0.044931,1.89825,4.77,0.0656,881,142.63,16.32,134.8,3,5188,4.4,0.32,0.973,0.868,0
"282","K00339.02","Kepler-529 c","CONFIRMED",12.8345022,0.6048,3.2666,286,0.016209,1.69356,1.57,0.1065,795,94.39,24.52,33.8,3,6248,4.533,-0.5,0.886,0.977,0
"396","K00484.01","Kepler-572 b","CONFIRMED",17.20523483,0.0431,3.6211,1130,0.030244,3.33442,2.29,0.1194,553,22.18,37.37,74.4,1,5208,4.641,-0.38,0.693,0.771,0
"952","K01108.02","Kepler-770 c","CONFIRMED",1.475322314,0.2162,2.326,161,0.011558,0.97772,0.95,0.0238,1368,827.55,4.827,26.9,3,5513,4.599,-0.36,0.753,0.822,0
"1840","K02586.01","Kepler-1282 b","CONFIRMED",2.131946513,0.2624,1.8179,293,0.015667,2.84853,1.65,0.0333,1383,865.28,8.81,22,1,5825,4.504,0.21,0.965,1.083,0
"358","K00443.01","Kepler-555 b","CONFIRMED",16.21775407,0.2746,4.9296,765,0.025471,1.10236,2.22,0.12,663,45.73,24.84,75.2,1,5834,4.577,-0.44,0.797,0.875,0
"1817","K02520.01","Kepler-1265 b","CONFIRMED",6.49441289,0.3452,2.243,407,0.018177,4.27014,1.47,0.0612,732,68.05,21.19,19.9,1,4769,4.557,0,0.742,0.724,0
"850","K00926.01","Kepler-729 b","CONFIRMED",3.166353714,0.0645,3.3039,1590,0.036383,0.8273,3.97,0.0432,1274,621.92,7.597,134.4,1,6007,4.47,0.02,0.998,1.072,0
"936","K01078.02","Kepler-267 c","CONFIRMED",6.877449897,0.4798,1.3407,1760,0.039291,18.87347,2.02,0.0558,487,13.34,36.1,36.3,3,3807,4.784,-0.26,0.47,0.49,0
"2027","K03060.01","Kepler-1421 b","CONFIRMED",6.9131112,0.0323,4.768,37.9,0.005685,0.54851,0.71,0.0749,1131,386.64,11.15,13,1,6540,4.385,-0.18,1.151,1.173,0
"826","K00904.04","Kepler-55 e","CONFIRMED",4.61746693,0.6,2.1993,493,0.021008,2.0743,1.51,0.0469,744,72.56,13.27,24,5,4505,4.61,-0.2,0.658,0.645,0
"14951","K02019.01","Kepler-1057 b","CONFIRMED",14.08827448,0.1832,4.1615,947,0.028128,1.7086,2.75,0.1138,724,64.97,26.17,39.9,1,5853,4.529,-0.1,0.895,0.99,0
